frame_no_cam,person_id,x_top_left_BB,y_top_left_BB,x_bottom_right_BB,y_bottom_right_BB
0,40,852,-17,865,14
0,57,817,-6,833,26
0,62,840,-13,854,17
0,67,1441,77,1466,126
0,76,1828,35,1856,81
0,84,1301,9,1310,46
0,88,1862,55,1891,102
0,100,504,80,524,125
0,101,277,65,298,111
0,106,1167,458,1232,577
0,110,1379,42,1393,83
0,111,496,113,517,165
0,118,803,-4,818,27
0,122,1066,594,1144,717
0,124,1439,4,1462,42
0,125,867,-21,878,8
0,134,1776,6,1783,15
0,142,1465,-14,1480,19
0,151,1773,-17,1790,10
0,152,831,-13,843,18
0,157,1769,-15,1789,20
0,158,360,89,384,136
0,161,493,276,506,295
0,165,655,140,678,197
0,166,1458,78,1481,128
0,168,1408,11,1423,49
0,174,654,462,697,563
0,178,720,16,739,53
0,180,599,47,621,87
1,40,852,-17,865,14
1,57,817,-6,833,26
1,62,840,-12,854,18
1,67,1442,76,1466,126
1,76,1827,35,1856,81
1,84,1300,8,1310,46
1,88,1862,55,1891,102
1,100,504,80,524,125
1,101,277,65,296,111
1,106,1166,457,1233,574
1,110,1380,41,1391,83
1,111,496,113,517,165
1,118,803,-4,818,27
1,122,1065,592,1146,717
1,124,1439,4,1462,42
1,125,867,-21,878,8
1,134,1775,6,1783,15
1,142,1465,-14,1480,19
1,151,1773,-18,1789,4
1,152,831,-13,843,18
1,157,1768,-15,1789,20
1,158,361,89,384,136
1,161,494,275,507,295
1,165,654,140,678,197
1,166,1458,77,1481,128
1,168,1408,12,1423,49
1,174,657,462,696,563
1,178,721,16,739,52
1,180,600,47,621,87
2,40,852,-17,865,14
2,57,816,-6,833,26
2,62,839,-12,854,18
2,67,1442,76,1466,126
2,76,1826,35,1856,80
2,84,1299,8,1309,47
2,88,1863,55,1892,102
2,100,503,80,524,126
2,101,277,65,295,109
2,106,1165,456,1233,571
2,110,1380,41,1390,84
2,111,495,113,517,165
2,118,803,-4,819,27
2,122,1064,591,1148,717
2,124,1439,4,1462,42
2,125,867,-21,878,8
2,134,1775,2,1785,14
2,142,1465,-14,1480,19
2,151,1773,-18,1789,4
2,152,831,-13,844,18
2,157,1768,-15,1788,20
2,158,362,89,383,136
2,161,494,275,509,294
2,165,653,141,679,197
2,166,1458,77,1481,128
2,168,1408,12,1423,49
2,174,660,463,698,563
2,178,721,16,739,52
2,180,601,47,621,87
3,40,852,-17,865,14
3,57,816,-5,833,24
3,62,839,-12,854,18
3,66,1744,-29,1761,5
3,67,1443,76,1466,126
3,76,1826,36,1855,80
3,84,1299,9,1308,47
3,88,1863,55,1892,102
3,100,502,80,524,126
3,101,276,65,293,110
3,106,1165,455,1233,567
3,110,1379,41,1388,84
3,111,495,113,517,165
3,118,803,-4,819,27
3,122,1063,590,1150,717
3,124,1439,5,1462,42
3,125,866,-21,878,9
3,134,1775,3,1785,14
3,142,1465,-14,1480,19
3,151,1773,-18,1789,4
3,152,831,-13,844,18
3,157,1768,-15,1790,20
3,158,363,88,383,136
3,161,495,274,510,294
3,165,652,141,679,197
3,166,1458,77,1481,128
3,168,1408,12,1423,49
3,174,662,464,703,565
3,178,722,16,740,51
3,180,603,46,621,87
4,40,852,-17,864,14
4,57,816,-5,832,27
4,62,839,-12,854,18
4,66,1744,-28,1761,5
4,67,1443,75,1466,126
4,76,1826,36,1855,80
4,84,1297,9,1308,47
4,88,1864,55,1893,102
4,100,501,81,524,126
4,101,275,65,294,112
4,106,1164,454,1233,564
4,110,1378,41,1388,84
4,111,495,114,516,164
4,118,803,-5,819,27
4,122,1062,589,1151,717
4,124,1439,5,1462,42
4,125,866,-21,878,9
4,134,1775,3,1785,13
4,142,1465,-14,1480,19
4,151,1778,-18,1789,4
4,152,830,-13,844,18
4,157,1768,-15,1789,19
4,158,364,88,384,136
4,161,496,274,512,294
4,165,651,141,678,196
4,166,1458,77,1481,127
4,168,1409,11,1423,49
4,174,663,465,710,568
4,178,722,16,740,51
